gameid,home,team,SEC,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,AST,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,FGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct
22200203,False,LAC,14400,17.8,19,54,67,374,3,2,254,25,12,22,0.545,29,59,0.492,0.506,21,31,0.677
22200204,True,MIL,14400,18.04,34,49,81,405,1,3,281,21,20,34,0.588,14,48,0.292,0.415,19,31,0.613
22200204,False,ATL,14400,17.97,26,58,80,358,0,2,237,23,21,42,0.5,23,50,0.46,0.478,19,28,0.679
22200205,True,GSW,14400,18.43,17,71,86,490,8,4,369,35,13,31,0.419,34,57,0.596,0.534,14,28,0.5
22200205,False,SAS,14400,19.18,40,47,86,458,4,1,321,18,13,35,0.371,23,65,0.354,0.36,22,31,0.71
22200206,True,NOP,14400,17.69,26,66,89,421,3,2,306,31,20,36,0.556,23,55,0.418,0.473,18,31,0.581
22200206,False,MEM,14400,17.77,39,63,100,399,1,2,279,16,23,45,0.511,15,47,0.319,0.413,16,26,0.615
22200207,True,DAL,14400,17.05,21,46,65,385,4,2,270,20,10,25,0.4,25,55,0.455,0.438,5,7,0.714
22200207,False,LAC,14400,16.94,19,59,72,384,10,2,271,23,9,18,0.5,25,46,0.543,0.531,8,17,0.471
22200208,True,UTA,14400,18.02,27,61,84,431,1,4,304,29,11,25,0.44,25,58,0.431,0.434,18,29,0.621
22200208,False,NYK,14400,18.15,27,43,68,405,2,2,281,26,19,36,0.528,25,57,0.439,0.473,15,22,0.682
22200209,True,POR,14400,17.69,26,43,65,385,2,2,266,22,19,28,0.679,22,51,0.431,0.519,22,31,0.71
22200209,False,SAS,14400,18.52,22,55,75,430,3,3,310,34,23,42,0.548,22,44,0.5,0.518,19,29,0.655
22200210,True,SAC,14400,18.93,21,50,71,447,2,3,316,39,25,34,0.735,31,59,0.525,0.596,17,21,0.81
22200210,False,BKN,14400,18.51,16,45,58,395,5,3,276,25,17,34,0.5,23,47,0.489,0.494,26,36,0.722
22200211,True,CHA,14400,19.27,35,45,79,441,1,2,307,29,19,46,0.413,24,48,0.5,0.457,20,31,0.645
22200211,False,IND,14400,19.15,21,53,74,447,1,6,325,27,21,35,0.6,23,47,0.489,0.537,21,37,0.568
22200212,True,ORL,14400,18.63,30,53,81,378,1,0,253,21,21,40,0.525,21,53,0.396,0.452,23,29,0.793
22200212,False,MIN,14400,18.03,14,51,64,425,4,3,305,28,14,25,0.56,32,63,0.508,0.523,20,25,0.8
22200213,True,WAS,14400,18.11,25,45,68,464,8,0,333,32,17,35,0.486,27,51,0.529,0.512,21,34,0.618
22200213,False,OKC,14400,18.84,17,50,66,365,0,2,250,24,22,41,0.537,22,40,0.55,0.543,16,27,0.593
22200214,True,ATL,14400,17.85,29,39,68,368,0,2,242,21,17,33,0.515,25,68,0.368,0.416,19,27,0.704
22200214,False,BOS,14400,17.56,13,70,81,392,3,0,276,29,17,28,0.607,31,60,0.517,0.545,17,21,0.81
22200215,True,TOR,14400,17.5,30,40,67,421,2,3,300,23,27,46,0.587,17,40,0.425,0.512,12,17,0.706
22200215,False,MIA,14400,17.16,11,42,51,395,0,3,289,19,17,23,0.739,18,42,0.429,0.545,20,25,0.8
22200216,True,MIL,14400,17.2,30,59,88,379,4,4,260,26,14,32,0.438,27,54,0.5,0.477,10,21,0.476
22200216,False,CLE,14400,17.13,25,50,70,348,3,2,242,22,20,41,0.488,16,43,0.372,0.429,13,20,0.65
22200217,True,NOP,14400,17.78,19,52,69,455,3,3,333,30,21,38,0.553,22,47,0.468,0.506,23,32,0.719
22200217,False,CHI,14400,17.94,18,44,60,418,2,1,299,25,17,34,0.5,27,55,0.491,0.494,15,23,0.652
22200218,True,DAL,14400,17.27,36,42,77,450,2,2,330,21,15,38,0.395,16,64,0.25,0.304,20,27,0.741
22200218,False,HOU,14400,17.0,18,78,96,365,3,4,247,21,18,34,0.529,17,41,0.415,0.467,11,29,0.379
22200219,True,DEN,14400,17.02,20,62,78,382,5,2,273,18,10,28,0.357,26,54,0.481,0.439,16,22,0.727
22200219,False,NYK,14400,17.39,15,53,67,359,0,3,244,24,14,23,0.609,23,61,0.377,0.44,13,18,0.722
22200220,True,PHX,14400,18.4,16,63,79,406,5,4,282,33,13,29,0.448,31,57,0.544,0.512,16,28,0.571
22200220,False,GSW,14400,18.18,26,48,73,460,7,2,331,30,15,34,0.441,27,58,0.466,0.457,11,13,0.846
22200221,True,POR,14400,18.23,27,45,71,433,3,0,306,22,18,38,0.474,18,55,0.327,0.387,19,25,0.76
22200221,False,BKN,14400,17.99,15,76,88,436,7,4,317,32,20,40,0.5,20,39,0.513,0.506,17,28,0.607
22200222,True,SAC,14400,18.55,20,41,59,410,2,3,297,28,21,32,0.656,27,51,0.529,0.578,17,23,0.739
22200222,False,SAS,14400,19.24,10,49,59,448,5,2,331,29,23,37,0.622,23,47,0.489,0.548,22,32,0.688
22200223,True,LAC,14400,17.38,27,69,92,386,2,4,265,17,16,33,0.485,17,48,0.354,0.407,15,22,0.682
22200223,False,DET,14400,18.09,26,53,77,362,0,2,243,15,18,36,0.5,15,52,0.288,0.375,14,22,0.636
22200224,True,WAS,15900,19.42,29,78,104,544,4,1,419,33,16,33,0.485,25,63,0.397,0.427,14,23,0.609
22200224,False,MIA,15900,19.7,24,74,96,438,3,7,309,23,17,36,0.472,18,62,0.29,0.357,14,21,0.667
