gameid,home,team,playerid,name,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22200004,False,WAS,1631098,Johnny Davis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,False,WAS,201959,Taj Gibson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,False,WAS,1630692,Jordan Goodwin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,False,WAS,1630648,Jordan Schakel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,False,WAS,1630225,Isaiah Todd,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,True,ATL,1629631,De'Andre Hunter,1928.0,0.8,0.2,0.818,0.364,0.136,0.273,0.045,0.364,0.455,0.556,0.444,1.0,0.0,0.6,0.4
22200005,True,ATL,1628381,John Collins,2019.0,0.833,0.167,0.583,0.167,0.25,0.0,0.167,0.0,0.417,0.857,0.143,1.0,0.0,0.889,0.111
22200005,True,ATL,203991,Clint Capela,1562.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
22200005,True,ATL,1627749,Dejounte Murray,2294.0,0.737,0.263,0.7,0.3,0.15,0.4,0.15,0.2,0.4,0.714,0.286,1.0,0.0,0.75,0.25
22200005,True,ATL,1629027,Trae Young,2274.0,0.591,0.409,0.522,0.087,0.13,0.217,0.348,0.13,0.435,0.167,0.833,1.0,0.0,0.286,0.714
22200005,True,ATL,1630552,Jalen Johnson,861.0,1.0,0.0,0.4,0.0,0.0,0.8,0.6,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0
22200005,True,ATL,1628988,Aaron Holiday,1082.0,0.6,0.4,0.4,0.0,0.6,0.6,0.0,1.0,0.4,0.0,1.0,1.0,0.0,0.5,0.5
22200005,True,ATL,1630168,Onyeka Okongwu,1267.0,1.0,0.0,0.923,0.0,0.0,0.154,0.077,0.462,0.923,0.833,0.167,0.0,0.0,0.833,0.167
22200005,True,ATL,203200,Justin Holiday,1113.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22200005,True,ATL,1629633,Jarrett Culver,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,True,ATL,1630235,Trent Forrest,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,True,ATL,1631100,AJ Griffin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,True,ATL,1626163,Frank Kaminsky,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,True,ATL,1630249,Vit Krejci,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,True,ATL,1631213,Tyrese Martin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,False,HOU,201569,Eric Gordon,1759.0,0.556,0.444,0.545,0.0,0.273,0.182,0.182,0.0,0.545,0.333,0.667,1.0,0.0,0.5,0.5
22200005,False,HOU,1631095,Jabari Smith Jr.,1974.0,0.353,0.647,0.353,0.118,0.529,0.0,0.118,0.176,0.235,0.667,0.333,1.0,0.0,0.833,0.167
22200005,False,HOU,1628981,Bruno Fernando,1502.0,1.0,0.0,0.857,0.286,0.0,0.0,0.143,0.0,0.571,0.667,0.333,0.0,0.0,0.667,0.333
22200005,False,HOU,1630224,Jalen Green,1933.0,0.65,0.35,0.75,0.0,0.188,0.25,0.063,0.0,0.75,0.667,0.333,1.0,0.0,0.714,0.286
22200005,False,HOU,1629645,Kevin Porter Jr.,2037.0,0.737,0.263,0.571,0.095,0.429,0.0,0.0,0.095,0.476,0.167,0.833,0.667,0.333,0.333,0.667
22200005,False,HOU,1630231,Kenyon Martin Jr.,1362.0,0.714,0.286,0.333,0.0,0.0,0.0,0.667,0.333,0.333,1.0,0.0,0.0,0.0,1.0,0.0
22200005,False,HOU,1631106,Tari Eason,906.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.75,0.25,0.0,0.0,0.75,0.25
22200005,False,HOU,1630578,Alperen Sengun,1325.0,0.778,0.222,0.533,0.0,0.2,0.0,0.267,0.133,0.533,0.5,0.5,1.0,0.0,0.6,0.4
22200005,False,HOU,1629726,Garrison Mathews,843.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,False,HOU,1630528,Josh Christopher,759.0,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.667,0.0,0.0,0.333,0.667
22200005,False,HOU,1630586,Usman Garuba,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200005,False,HOU,1631309,Trevor Hudgins,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
