gameid,home,team,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
42200124,False,PHI,14400,0.736,0.264,0.563,0.083,0.281,0.073,0.156,0.156,0.479,0.407,0.593,0.889,0.111,0.528,0.472
42200131,True,CLE,14400,0.627,0.373,0.536,0.124,0.309,0.155,0.155,0.103,0.412,0.577,0.423,0.5,0.5,0.556,0.444
42200131,False,NYK,14400,0.67,0.33,0.574,0.139,0.238,0.168,0.188,0.257,0.436,0.448,0.552,0.625,0.375,0.486,0.514
42200132,True,CLE,14400,0.571,0.429,0.449,0.056,0.393,0.168,0.159,0.299,0.393,0.583,0.417,0.857,0.143,0.684,0.316
42200132,False,NYK,14400,0.633,0.367,0.489,0.067,0.233,0.178,0.278,0.322,0.422,0.5,0.5,0.714,0.286,0.552,0.448
42200133,True,NYK,14400,0.602,0.398,0.586,0.02,0.303,0.152,0.111,0.283,0.566,0.379,0.621,1.0,0.0,0.538,0.462
42200133,False,CLE,14400,0.588,0.413,0.608,0.0,0.266,0.089,0.127,0.101,0.608,0.375,0.625,1.0,0.0,0.516,0.484
42200134,True,NYK,14400,0.655,0.345,0.588,0.098,0.235,0.098,0.176,0.157,0.49,0.3,0.7,0.75,0.25,0.395,0.605
42200134,False,CLE,14400,0.701,0.299,0.645,0.086,0.194,0.075,0.161,0.14,0.559,0.667,0.333,0.667,0.333,0.667,0.333
42200135,True,CLE,14400,0.56,0.44,0.463,0.105,0.411,0.084,0.126,0.137,0.358,0.545,0.455,0.923,0.077,0.686,0.314
