gameid,home,team,SEC,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,estteamTOVpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie
22200024,True,HOU,14400,113.8,118.4,122.0,126.5,-8.2,-8.0,0.409,1.29,13.0,0.357,0.614,0.487,13.06,13.6,0.559,0.574,1,0.198,106.48,102.5,85.42,103,0.436
22200024,False,MEM,14400,122.0,126.5,113.8,118.4,8.2,8.0,0.578,2.17,17.5,0.386,0.643,0.513,11.346,11.8,0.556,0.582,1,0.2,106.48,102.5,85.42,102,0.564
22200025,True,MIN,15900,108.5,111.5,115.5,116.8,-7.0,-5.3,0.408,1.0,12.7,0.41,0.642,0.531,17.224,17.7,0.509,0.538,1,0.198,104.31,102.34,85.28,113,0.438
22200025,False,UTA,15900,115.5,116.8,108.5,111.5,7.0,5.3,0.796,3.0,22.6,0.358,0.59,0.469,11.38,11.5,0.532,0.549,1,0.201,104.31,102.34,85.28,113,0.562
22200026,True,GSW,14400,109.9,113.9,121.9,120.8,-12.0,-6.9,0.81,1.79,22.2,0.292,0.714,0.489,16.982,17.6,0.563,0.616,1,0.197,108.44,107.0,89.17,108,0.48
22200026,False,DEN,14400,121.9,120.8,109.9,113.9,12.0,6.9,0.652,1.5,20.4,0.286,0.708,0.511,19.048,18.9,0.622,0.66,1,0.202,108.44,107.0,89.17,106,0.52
22200027,True,POR,15900,106.8,103.7,99.8,102.8,7.0,0.9,0.389,0.67,10.5,0.306,0.717,0.52,19.841,19.3,0.5,0.577,1,0.195,98.3,98.26,81.89,109,0.494
22200027,False,PHX,15900,99.8,102.8,106.8,103.7,-7.0,-0.9,0.721,1.82,20.5,0.283,0.694,0.48,15.282,15.7,0.511,0.538,1,0.198,98.3,98.26,81.89,108,0.506
22200028,True,PHI,14400,109.0,111.7,116.8,121.3,-7.8,-9.6,0.703,2.17,19.4,0.347,0.653,0.5,12.458,12.8,0.5,0.545,1,0.201,96.96,94.0,78.33,94,0.472
22200028,False,SAS,14400,116.8,121.3,109.0,111.7,7.8,9.6,0.628,1.93,19.8,0.347,0.653,0.5,14.344,14.9,0.573,0.596,1,0.199,96.96,94.0,78.33,94,0.528
22200029,True,IND,14400,118.6,121.6,109.3,111.7,9.3,9.9,0.622,2.55,18.4,0.371,0.629,0.5,10.52,10.8,0.515,0.546,1,0.199,104.88,102.5,85.42,102,0.562
22200029,False,DET,14400,109.3,111.7,118.6,121.6,-9.3,-9.9,0.703,1.86,17.5,0.371,0.629,0.5,13.308,13.6,0.484,0.531,1,0.2,104.88,102.5,85.42,103,0.438
22200030,True,ORL,14400,117.5,121.2,125.6,126.0,-8.1,-4.8,0.467,2.33,15.5,0.321,0.809,0.55,8.813,9.1,0.553,0.571,1,0.202,101.22,99.5,82.92,99,0.472
22200030,False,BOS,14400,125.6,126.0,117.5,121.2,8.1,4.8,0.571,3.0,18.3,0.191,0.679,0.45,7.974,8.0,0.592,0.634,1,0.198,101.22,99.5,82.92,100,0.528
22200031,True,MIA,14400,114.4,117.9,112.0,114.7,2.4,3.2,0.737,1.75,21.2,0.275,0.755,0.548,16.347,16.8,0.572,0.637,1,0.196,97.6,95.0,79.17,95,0.533
22200031,False,TOR,14400,112.0,114.7,114.4,117.9,-2.4,-3.2,0.649,4.0,18.6,0.245,0.725,0.452,6.165,6.3,0.506,0.549,1,0.199,97.6,95.0,79.17,95,0.467
22200032,True,CHI,14400,101.1,98.0,124.4,130.6,-23.3,-32.7,0.559,1.9,15.3,0.192,0.658,0.389,10.526,10.2,0.446,0.505,1,0.2,98.96,98.0,81.67,98,0.362
22200032,False,CLE,14400,124.4,130.6,101.1,98.0,23.3,32.7,0.667,1.78,22.4,0.342,0.808,0.611,17.489,18.4,0.659,0.689,1,0.193,98.96,98.0,81.67,98,0.638
22200033,True,MIL,14400,122.3,126.3,103.3,106.1,19.0,20.2,0.604,1.81,20.8,0.238,0.689,0.505,15.649,16.2,0.659,0.663,1,0.194,101.96,99.0,82.5,99,0.614
22200033,False,HOU,14400,103.3,106.1,122.3,126.3,-19.0,-20.2,0.556,1.43,14.6,0.311,0.762,0.495,13.769,14.1,0.473,0.511,1,0.195,101.96,99.0,82.5,99,0.386
22200034,True,DAL,14400,129.4,137.0,94.5,94.1,34.9,42.9,0.511,1.53,16.0,0.438,0.796,0.619,14.172,15.0,0.594,0.647,1,0.199,103.7,101.0,84.17,100,0.702
22200034,False,MEM,14400,94.5,94.1,129.4,137.0,-34.9,-42.9,0.588,1.11,15.7,0.204,0.563,0.381,17.724,17.6,0.487,0.536,1,0.197,103.7,101.0,84.17,102,0.298
22200035,True,DEN,14400,113.3,118.4,109.2,112.5,4.1,5.9,0.786,1.83,22.1,0.264,0.732,0.505,16.722,17.5,0.612,0.618,1,0.199,107.38,103.5,86.25,103,0.514
22200035,False,OKC,14400,109.2,112.5,113.3,118.4,-4.1,-5.9,0.69,2.23,19.8,0.268,0.736,0.495,12.136,12.5,0.527,0.562,1,0.196,107.38,103.5,86.25,104,0.486
22200036,True,SAC,14400,109.6,111.2,112.5,112.1,-2.9,-0.9,0.6,2.0,18.1,0.208,0.81,0.489,12.068,12.2,0.553,0.565,1,0.199,99.06,98.5,82.08,98,0.448
22200036,False,LAC,14400,112.5,112.1,109.6,111.2,2.9,0.9,0.585,1.85,18.8,0.19,0.792,0.511,13.174,13.1,0.562,0.612,1,0.201,99.06,98.5,82.08,99,0.552
22200037,True,LAL,14400,100.2,103.0,104.0,103.9,-3.9,-1.0,0.634,2.0,18.6,0.226,0.673,0.441,12.524,12.9,0.478,0.516,1,0.197,102.84,101.5,84.58,101,0.496
22200037,False,POR,14400,104.0,103.9,100.2,103.0,3.9,1.0,0.514,1.0,14.2,0.327,0.774,0.559,18.649,18.6,0.5,0.553,1,0.2,102.84,101.5,84.58,102,0.504
22200038,True,ATL,14400,105.5,107.9,122.1,124.8,-16.6,-16.8,0.59,1.92,16.2,0.333,0.638,0.467,11.614,11.9,0.453,0.508,1,0.199,103.26,101.0,84.17,101,0.424
22200038,False,CHA,14400,122.1,124.8,105.5,107.9,16.6,16.8,0.596,2.0,19.3,0.362,0.667,0.533,13.566,13.9,0.583,0.61,1,0.196,103.26,101.0,84.17,101,0.576
22200039,True,CLE,15900,112.5,113.6,97.6,105.9,14.9,7.7,0.463,1.46,13.7,0.339,0.714,0.514,12.5,12.6,0.495,0.547,1,0.198,96.72,92.38,76.98,103,0.543
22200039,False,WAS,15900,97.6,105.9,112.5,113.6,-14.9,-7.7,0.581,1.25,18.0,0.286,0.661,0.486,18.248,19.8,0.563,0.572,1,0.195,96.72,92.38,76.98,101,0.457
22200040,True,NOP,15900,105.5,109.0,108.6,110.9,-3.1,-1.9,0.625,1.76,18.9,0.382,0.661,0.523,14.824,15.3,0.51,0.542,1,0.2,102.79,100.08,83.4,111,0.489
22200040,False,UTA,15900,108.6,110.9,105.5,109.0,3.1,1.9,0.674,1.71,18.6,0.339,0.618,0.477,15.135,15.5,0.505,0.553,1,0.198,102.79,100.08,83.4,110,0.511
22200041,True,OKC,14400,102.7,106.0,115.2,116.0,-12.5,-10.0,0.585,2.18,17.4,0.263,0.681,0.452,10.655,11.0,0.484,0.513,1,0.198,101.96,100.0,83.33,100,0.437
22200041,False,MIN,14400,115.2,116.0,102.7,106.0,12.5,10.0,0.522,1.6,17.6,0.319,0.737,0.548,14.899,15.0,0.58,0.594,1,0.201,101.96,100.0,83.33,100,0.563
22200042,True,GSW,14400,118.4,117.1,109.6,113.6,8.7,3.5,0.533,1.85,17.2,0.191,0.66,0.44,11.835,11.7,0.598,0.632,1,0.202,111.92,110.5,92.08,111,0.507
22200042,False,SAC,14400,109.6,113.6,118.4,117.1,-8.7,-3.5,0.66,1.94,19.6,0.34,0.809,0.56,14.035,14.5,0.525,0.563,1,0.2,111.92,110.5,92.08,110,0.493
22200043,True,LAC,14400,98.1,97.9,114.0,114.3,-15.8,-16.3,0.444,1.07,13.1,0.204,0.686,0.45,15.496,15.5,0.494,0.523,1,0.198,97.54,97.5,81.25,97,0.408
22200043,False,PHX,14400,114.0,114.3,98.1,97.9,15.8,16.3,0.674,2.23,20.7,0.314,0.796,0.55,13.228,13.3,0.543,0.57,1,0.198,97.54,97.5,81.25,98,0.592
22200044,True,PHI,14400,128.6,129.0,106.9,112.8,21.6,16.3,0.658,3.13,19.9,0.205,0.618,0.434,8.573,8.6,0.594,0.65,1,0.199,96.22,93.5,77.92,93,0.583
22200044,False,IND,14400,106.9,112.8,128.6,129.0,-21.6,-16.3,0.711,2.08,19.3,0.382,0.795,0.566,13.115,13.8,0.489,0.529,1,0.198,96.22,93.5,77.92,94,0.417
22200045,True,MIA,14400,91.0,92.8,101.2,101.0,-10.2,-8.2,0.655,1.58,15.1,0.2,0.774,0.481,12.136,12.4,0.398,0.474,1,0.198,97.84,97.0,80.83,97,0.461
22200045,False,TOR,14400,101.2,101.0,91.0,92.8,10.2,8.2,0.647,1.83,17.1,0.226,0.8,0.519,12.397,12.4,0.477,0.517,1,0.2,97.84,97.0,80.83,97,0.539
22200046,True,NYK,14400,115.0,116.2,104.2,105.2,10.8,11.0,0.558,1.71,16.9,0.426,0.706,0.562,14.0,14.1,0.522,0.553,1,0.198,98.94,98.0,81.67,99,0.577
22200046,False,ORL,14400,104.2,105.2,115.0,116.2,-10.8,-11.0,0.389,1.08,11.2,0.294,0.574,0.438,13.282,13.4,0.459,0.521,1,0.2,98.94,98.0,81.67,97,0.423
22200047,True,CHI,14400,120.3,117.6,99.7,101.0,20.6,16.7,0.69,2.07,20.3,0.304,0.75,0.564,14.034,13.7,0.54,0.601,1,0.197,101.02,101.5,84.58,102,0.634
22200047,False,BOS,14400,99.7,101.0,120.3,117.6,-20.6,-16.7,0.703,2.36,18.3,0.25,0.696,0.436,10.755,10.9,0.46,0.484,1,0.198,101.02,101.5,84.58,101,0.366
22200048,True,HOU,14400,110.6,114.0,105.8,109.1,4.8,4.9,0.447,1.06,12.4,0.418,0.593,0.505,15.522,16.0,0.483,0.548,1,0.198,102.56,99.5,82.92,100,0.518
22200048,False,UTA,14400,105.8,109.1,110.6,114.0,-4.8,-4.9,0.523,1.15,16.1,0.407,0.582,0.495,19.6,20.2,0.532,0.54,1,0.198,102.56,99.5,82.92,99,0.482
22200049,True,MEM,14400,128.1,136.7,123.5,126.5,4.6,10.2,0.447,2.33,15.3,0.431,0.69,0.548,8.601,9.2,0.585,0.622,1,0.199,102.54,98.0,81.67,98,0.518
22200049,False,BKN,14400,123.5,126.5,128.1,136.7,-4.6,-10.2,0.574,2.45,19.8,0.31,0.569,0.452,10.952,11.2,0.592,0.63,1,0.199,102.54,98.0,81.67,98,0.482
22200050,True,MIN,14400,103.4,103.9,104.8,110.6,-1.5,-6.7,0.632,1.5,17.6,0.24,0.661,0.473,15.601,15.7,0.488,0.549,1,0.201,106.14,103.0,85.83,102,0.48
22200050,False,SAS,14400,104.8,110.6,103.4,103.9,1.5,6.7,0.771,2.85,23.0,0.339,0.76,0.527,11.848,12.5,0.514,0.519,1,0.196,106.14,103.0,85.83,104,0.52
22200051,True,POR,14400,138.3,140.6,115.6,114.6,22.7,26.0,0.479,2.3,17.7,0.275,0.755,0.539,10.242,10.4,0.675,0.698,1,0.193,96.4,96.0,80.0,96,0.609
22200051,False,DEN,14400,115.6,114.6,138.3,140.6,-22.7,-26.0,0.622,3.5,21.0,0.245,0.725,0.461,8.407,8.3,0.56,0.566,1,0.2,96.4,96.0,80.0,96,0.391
22200052,True,WAS,14400,120.7,121.2,98.0,100.0,22.7,21.2,0.591,2.17,19.3,0.256,0.75,0.535,12.068,12.1,0.576,0.622,1,0.197,100.22,99.0,82.5,99,0.684
22200052,False,DET,14400,98.0,100.0,120.7,121.2,-22.7,-21.2,0.333,0.92,9.7,0.25,0.744,0.465,12.871,13.1,0.455,0.5,1,0.196,100.22,99.0,82.5,99,0.316
22200053,True,NOP,14400,120.3,120.2,118.6,119.4,1.7,0.9,0.568,1.79,20.3,0.176,0.69,0.461,14.906,14.9,0.658,0.673,1,0.198,93.74,93.5,77.92,94,0.509
22200053,False,DAL,14400,118.6,119.4,120.3,120.2,-1.7,-0.9,0.439,1.5,14.7,0.31,0.824,0.539,12.826,12.9,0.573,0.6,1,0.199,93.74,93.5,77.92,93,0.491
22200054,True,OKC,14400,101.9,103.8,91.3,91.3,10.6,12.6,0.452,3.17,13.0,0.366,0.82,0.554,5.66,5.8,0.4,0.446,1,0.198,104.46,103.5,86.25,104,0.552
22200054,False,LAC,14400,91.3,91.3,101.9,103.8,-10.6,-12.6,0.6,1.11,16.0,0.18,0.634,0.446,18.461,18.4,0.482,0.517,1,0.2,104.46,103.5,86.25,103,0.448
22200055,True,PHX,14400,125.3,128.8,100.5,101.9,24.8,26.9,0.66,2.21,20.4,0.38,0.75,0.569,13.089,13.5,0.576,0.626,1,0.197,105.72,103.5,86.25,104,0.621
22200055,False,GSW,14400,100.5,101.9,125.3,128.8,-24.8,-26.9,0.683,1.75,19.7,0.25,0.62,0.431,15.314,15.5,0.505,0.533,1,0.194,105.72,103.5,86.25,103,0.379
22200056,True,CLE,14400,101.8,107.3,94.6,94.8,7.2,12.4,0.694,1.92,18.1,0.339,0.75,0.529,12.846,13.5,0.471,0.514,1,0.2,99.22,96.5,80.42,96,0.56
22200056,False,ORL,14400,94.6,94.8,101.8,107.3,-7.2,-12.4,0.543,1.12,15.1,0.25,0.661,0.471,17.483,17.5,0.469,0.51,1,0.198,99.22,96.5,80.42,97,0.44
22200057,True,DET,14400,107.9,115.3,113.5,118.0,-5.5,-2.7,0.548,1.64,16.7,0.308,0.667,0.48,13.374,14.3,0.538,0.561,1,0.197,104.34,99.0,82.5,98,0.43
22200057,False,ATL,14400,113.5,118.0,107.9,115.3,5.5,2.7,0.489,1.83,16.2,0.333,0.692,0.52,11.538,12.0,0.538,0.578,1,0.196,104.34,99.0,82.5,100,0.57
22200058,True,NYK,15900,121.1,119.6,110.8,117.0,10.2,2.7,0.5,1.63,17.5,0.298,0.685,0.505,14.456,14.3,0.593,0.628,1,0.201,103.64,101.43,84.53,112,0.522
22200058,False,CHA,15900,110.8,117.0,121.1,119.6,-10.2,-2.7,0.633,2.07,19.6,0.315,0.702,0.495,12.69,13.4,0.561,0.584,1,0.2,103.64,101.43,84.53,112,0.478
22200059,True,TOR,14400,127.7,126.6,113.1,117.2,14.6,9.4,0.696,3.56,24.4,0.2,0.854,0.531,9.661,9.6,0.643,0.66,1,0.2,94.76,93.5,77.92,94,0.544
22200059,False,PHI,14400,113.1,117.2,127.7,126.6,-14.6,-9.4,0.725,2.23,22.4,0.146,0.8,0.469,13.491,14.0,0.608,0.624,1,0.195,94.76,93.5,77.92,93,0.456
22200060,True,MIL,14400,104.0,105.8,93.2,96.1,10.8,9.7,0.538,1.11,14.9,0.314,0.782,0.557,17.965,18.3,0.5,0.546,1,0.194,105.98,103.5,86.25,104,0.578
22200060,False,BKN,14400,93.2,96.1,104.0,105.8,-10.8,-9.7,0.676,1.64,16.9,0.218,0.686,0.443,13.183,13.6,0.436,0.499,1,0.2,105.98,103.5,86.25,103,0.422
22200061,True,CHI,14400,116.4,120.4,98.6,105.8,17.8,14.6,0.791,1.89,22.7,0.289,0.673,0.495,16.892,17.5,0.586,0.636,1,0.196,108.56,103.0,85.83,103,0.563
22200061,False,IND,14400,98.6,105.8,116.4,120.4,-17.8,-14.6,0.838,1.55,21.0,0.327,0.711,0.505,18.09,19.4,0.523,0.564,1,0.194,108.56,103.0,85.83,103,0.437
22200062,True,MIN,14400,128.8,127.6,114.4,116.2,14.4,11.4,0.712,2.18,26.2,0.063,0.679,0.447,16.34,16.2,0.775,0.77,1,0.2,105.36,105.0,87.5,105,0.567
22200062,False,SAS,14400,114.4,116.2,128.8,127.6,-14.4,-11.4,0.791,2.13,22.0,0.321,0.938,0.553,14.998,15.2,0.537,0.583,1,0.199,105.36,105.0,87.5,105,0.433
22200063,True,UTA,14400,100.7,100.0,92.2,93.5,8.6,6.5,0.737,1.75,19.0,0.286,0.705,0.504,14.787,14.7,0.494,0.528,1,0.2,108.88,108.5,90.42,109,0.617
22200063,False,HOU,14400,92.2,93.5,100.7,100.0,-8.6,-6.5,0.528,1.0,13.3,0.295,0.714,0.496,17.342,17.6,0.441,0.483,1,0.199,108.88,108.5,90.42,108,0.383
22200064,True,DEN,14400,106.5,105.8,95.2,96.1,11.4,9.7,0.81,3.09,23.2,0.192,0.852,0.528,10.655,10.6,0.505,0.543,1,0.198,103.64,103.5,86.25,104,0.577
22200064,False,LAL,14400,95.2,96.1,106.5,105.8,-11.4,-9.7,0.625,1.79,18.4,0.148,0.808,0.472,13.456,13.6,0.489,0.51,1,0.198,103.64,103.5,86.25,103,0.423
22200065,True,POR,14400,100.6,101.0,121.0,124.0,-20.4,-22.9,0.588,1.05,15.6,0.292,0.6,0.441,19.499,19.6,0.513,0.548,1,0.199,97.9,96.5,80.42,97,0.381
22200065,False,MIA,14400,121.0,124.0,100.6,101.0,20.4,22.9,0.773,1.89,23.1,0.4,0.708,0.559,18.3,18.8,0.592,0.624,1,0.196,97.9,96.5,80.42,96,0.619
22200066,True,BKN,15900,115.5,114.7,120.1,121.7,-4.6,-7.0,0.465,1.33,14.2,0.346,0.773,0.542,13.863,13.8,0.527,0.589,1,0.196,97.63,97.36,81.13,109,0.481
