gameid,home,team,SEC,PTS,contestedshots,contestedshots2P,contestedshots3P,deflections,chargesdrawn,screenAST,screenASTPTS,looseballsrecoveredOFF,looseballsrecoveredDEF,looseballsrecoveredtotal,OFFboxouts,DEFboxouts,boxoutplayerteamREB,boxoutplayerREB,boxouts
22200100,True,MIL,14400,110,60,39,21,12,0,5,13,4,5,9,1,7,8,5,8
22200100,False,DET,14400,108,53,26,27,18,1,17,37,3,3,6,0,8,5,2,8
22200101,True,UTA,14400,121,41,30,11,11,0,13,34,2,0,2,0,14,14,4,14
22200101,False,MEM,14400,105,32,16,16,16,1,12,28,3,2,5,0,7,7,2,7
22200102,True,LAC,14400,95,59,43,16,18,1,5,13,1,3,4,1,5,6,3,6
22200102,False,HOU,14400,93,59,37,22,22,0,7,18,3,3,6,5,6,10,7,11
22200103,True,BKN,14400,99,59,49,10,17,0,3,8,3,2,5,0,7,7,3,7
22200103,False,CHI,14400,108,34,22,12,22,1,11,25,2,2,4,0,3,3,3,3
22200104,True,MIA,14400,116,49,21,28,12,2,11,29,2,2,4,1,7,6,3,8
22200104,False,GSW,14400,109,60,31,29,8,1,9,22,3,5,8,2,3,4,1,5
22200105,True,OKC,14400,116,61,43,18,22,0,3,7,5,2,7,0,4,4,0,4
22200105,False,ORL,14400,108,46,30,16,11,0,6,13,1,2,3,0,2,2,0,2
22200106,True,PHX,14400,116,57,35,22,22,0,9,21,5,2,7,0,4,2,1,4
22200106,False,MIN,14400,107,54,27,27,21,0,6,15,6,3,9,0,6,5,0,6
22200107,True,CLE,15900,114,58,34,24,15,0,5,12,2,4,6,0,4,3,3,4
22200107,False,BOS,15900,113,60,35,25,7,1,6,14,1,6,7,1,9,8,4,10
22200108,True,PHI,14400,111,39,24,15,8,1,7,20,4,2,6,0,7,7,2,7
22200108,False,WAS,14400,121,48,27,21,19,0,4,9,0,4,4,0,1,1,0,1
22200109,True,MIA,14400,110,34,14,20,11,0,17,39,1,0,1,2,7,7,1,9
22200109,False,SAC,14400,107,45,26,19,7,3,9,20,1,0,1,0,4,4,1,4
22200110,True,NYK,14400,99,65,41,24,13,0,5,11,2,2,4,0,4,3,2,4
22200110,False,ATL,14400,112,43,25,18,12,0,11,22,4,2,6,3,4,5,3,7
22200111,True,CHI,14400,106,55,34,21,21,0,11,25,2,2,4,1,4,5,3,5
22200111,False,CHA,14400,88,58,34,24,19,0,6,15,0,1,1,1,1,2,2,2
22200112,True,HOU,14400,101,57,34,23,20,0,6,15,2,0,2,5,2,7,6,7
22200112,False,LAC,14400,109,48,27,21,19,0,9,21,2,2,4,2,6,8,6,8
22200113,True,MIL,14400,116,42,32,10,21,0,3,8,1,5,6,2,6,8,5,8
22200113,False,DET,14400,91,50,32,18,10,0,12,29,1,2,3,0,8,8,6,8
22200114,True,SAS,14400,100,51,37,14,13,0,2,5,4,1,5,0,3,3,1,3
22200114,False,TOR,14400,143,52,28,24,28,1,6,15,2,2,4,0,3,3,2,3
22200115,True,DAL,14400,103,54,34,20,19,0,7,16,2,3,5,2,4,6,4,6
22200115,False,UTA,14400,100,49,27,22,10,0,5,12,1,0,1,0,3,3,1,3
22200116,True,POR,14400,106,38,28,10,13,0,7,16,3,2,5,2,2,1,0,4
22200116,False,MEM,14400,111,45,29,16,15,1,12,27,2,4,6,1,1,2,2,2
22200117,True,LAL,15900,120,55,40,15,17,2,2,5,2,4,6,1,0,1,1,1
22200117,False,NOP,15900,117,46,23,23,30,1,7,14,2,3,5,1,4,4,1,5
22200118,True,ORL,14400,130,55,27,28,13,0,10,22,1,4,5,3,9,11,8,12
22200118,False,GSW,14400,129,54,34,20,16,2,17,43,3,1,4,2,9,11,6,11
22200119,True,OKC,14400,110,48,30,18,14,0,3,6,7,4,11,0,1,1,0,1
22200119,False,DEN,14400,122,48,27,21,16,1,7,15,5,5,10,0,3,3,1,3
22200120,True,DET,14400,88,38,29,9,23,0,9,21,2,2,4,0,3,3,0,3
22200120,False,CLE,14400,112,46,32,14,9,1,8,20,3,5,8,3,8,8,7,11
22200121,True,IND,14400,101,53,28,25,11,1,6,14,0,3,3,1,3,4,1,4
22200121,False,MIA,14400,99,48,20,28,15,0,8,19,4,6,10,0,7,5,1,7
22200122,True,PHI,14400,104,36,23,13,16,1,9,21,2,1,3,2,6,8,4,8
22200122,False,NYK,14400,106,54,31,23,10,0,4,9,1,2,3,4,6,10,5,10
22200123,True,WAS,14400,86,41,24,17,6,0,6,14,0,1,1,1,2,2,0,3
22200123,False,BKN,14400,128,58,31,27,10,0,6,13,4,0,4,0,4,4,1,4
22200124,True,BOS,14400,123,46,32,14,11,1,10,24,7,5,12,0,5,4,0,5
22200124,False,CHI,14400,119,49,30,19,15,1,12,24,3,2,5,1,3,3,1,4
22200125,True,MEM,14400,130,45,30,15,10,0,16,37,4,3,7,2,4,6,2,6
22200125,False,CHA,14400,99,44,27,17,21,0,10,22,0,3,3,1,4,4,1,5
22200126,True,SAS,14400,106,47,28,19,8,0,10,21,4,1,5,0,3,2,2,3
22200126,False,LAC,14400,113,56,34,22,11,0,10,25,0,2,2,0,4,1,1,4
22200127,True,DAL,14400,111,56,36,20,17,2,3,6,1,1,2,0,2,2,1,2
22200127,False,TOR,14400,110,48,28,20,23,1,5,12,2,0,2,6,0,5,5,6
22200128,True,NOP,14400,114,45,20,25,20,1,8,21,1,5,6,1,3,3,0,4
22200128,False,GSW,14400,105,53,35,18,15,0,4,10,3,1,4,0,5,5,3,5
22200129,True,MIN,14400,102,56,32,24,19,0,14,33,5,3,8,1,7,8,4,8
22200129,False,MIL,14400,115,59,30,29,15,0,4,8,2,1,3,1,2,3,1,3
22200130,True,PHX,14400,106,53,37,16,14,1,3,7,1,5,6,2,3,4,2,5
22200130,False,POR,14400,108,51,29,22,13,0,4,9,3,2,5,1,5,2,1,6
22200131,True,LAL,14400,116,53,37,16,17,0,5,12,3,3,6,1,3,4,1,4
22200131,False,UTA,14400,130,35,27,8,10,0,7,16,1,1,2,1,4,3,3,5
22200132,True,ORL,15900,123,51,32,19,14,0,12,24,3,3,6,1,8,7,4,9
22200132,False,SAC,15900,126,54,44,10,10,1,11,27,3,1,4,3,5,8,4,8
22200133,True,CHA,14400,94,43,27,16,15,0,4,11,1,2,3,2,2,4,1,4
22200133,False,BKN,14400,98,55,27,28,13,0,11,25,2,2,4,0,6,5,3,6
22200134,True,ATL,15900,124,58,47,11,18,2,6,13,1,4,5,0,6,6,1,6
22200134,False,NOP,15900,121,50,32,18,17,0,13,30,4,3,7,2,8,10,5,10
22200135,True,NYK,14400,118,44,25,19,6,0,1,2,2,3,5,1,5,4,2,6
22200135,False,BOS,14400,133,44,37,7,10,0,12,33,0,2,2,1,7,8,3,8
22200136,True,MIL,14400,108,49,25,24,17,0,6,17,3,3,6,1,3,2,2,4
22200136,False,OKC,14400,94,65,29,36,14,1,6,13,3,4,7,1,5,5,3,6
22200137,True,MIN,14400,129,58,29,29,38,0,8,20,4,3,7,2,2,4,3,4
22200137,False,HOU,14400,117,38,18,20,29,1,6,15,3,3,6,1,2,3,2,3
22200138,True,DEN,14400,126,46,23,23,16,0,12,30,2,5,7,1,3,4,4,4
22200138,False,SAS,14400,101,58,37,21,13,0,6,14,1,2,3,0,3,2,1,3
22200139,True,PHX,14400,102,54,45,9,20,0,3,7,3,2,5,1,2,3,3,3
22200139,False,POR,14400,82,58,35,23,14,0,3,8,4,1,5,0,6,6,3,6
22200140,True,LAL,14400,100,46,28,18,16,1,3,6,1,0,1,3,7,10,8,10
22200140,False,CLE,14400,114,49,31,18,16,2,8,19,2,3,5,2,11,13,9,13
22200141,True,TOR,14400,113,45,25,20,17,0,9,21,8,4,12,3,1,3,3,4
22200141,False,CHI,14400,104,51,34,17,12,2,4,9,5,5,10,0,8,8,4,8
22200142,True,MEM,14400,103,56,29,27,15,0,13,28,1,2,3,1,5,6,3,6
22200142,False,WAS,14400,97,62,41,21,7,0,9,20,3,1,4,3,3,6,3,6
22200143,True,LAC,14400,102,47,18,29,21,0,7,18,3,3,6,0,6,6,4,6
22200143,False,UTA,14400,110,55,35,20,13,1,8,19,2,2,4,0,2,2,1,2
22200144,True,CHA,14400,100,47,35,12,24,0,5,10,2,3,5,2,1,3,3,3
22200144,False,WAS,14400,108,59,36,23,17,0,11,23,4,1,5,0,7,6,2,7
22200145,True,ORL,14400,127,43,13,30,15,0,10,23,5,2,7,0,6,3,1,6
22200145,False,HOU,14400,134,32,24,8,13,0,9,23,3,2,5,1,2,3,2,3
22200146,True,DET,14400,112,50,37,13,8,0,11,24,4,3,7,2,6,8,4,8
22200146,False,OKC,14400,103,41,27,14,13,0,5,12,4,3,7,1,9,10,3,10
22200147,True,IND,14400,129,52,40,12,7,0,6,17,7,3,10,0,5,5,3,5
22200147,False,NOP,14400,122,39,15,24,15,1,8,19,3,1,4,1,5,5,3,6
22200148,True,PHI,14400,100,42,31,11,13,0,4,9,5,5,10,3,10,13,11,13
22200148,False,PHX,14400,88,41,28,13,15,0,9,19,4,2,6,2,3,4,4,5
22200149,True,ATL,14400,117,49,24,25,18,1,23,53,2,7,9,0,8,4,0,8
22200149,False,MIL,14400,98,70,49,21,11,0,9,22,0,1,1,0,3,3,1,3
